video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at,video_type
7392339273111883041,#CapCut #fyp #follow #10k #foryou #roadto10k #teamwork #payoffdebt #growmyaccount #smallcreator #followtrain ,3738,314,160,3,2024-07-16T20:51:59+00:00,"[""CapCut"", ""fyp"", ""follow"", ""10k"", ""foryou"", ""roadto10k"", ""teamwork"", ""payoffdebt"", ""growmyaccount"", ""smallcreator"", ""followtrain""]",https://www.tiktok.com/@ichbinnelo/video/7392339273111883041,2026-05-26T22:41:16.850279+00:00,Personal Finance
7391587278444973345,Let's keep following each other guys🙏🙏 #followtrain #payoffdebt #teamwork #roadto10k #roadto10k #foryou #10k #follow #fyp ,1364,226,85,2,2024-07-14T20:13:56+00:00,"[""followtrain"", ""payoffdebt"", ""teamwork"", ""roadto10k"", ""roadto10k"", ""foryou"", ""10k"", ""follow"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7391587278444973345,2026-05-26T22:41:16.850279+00:00,Personal Finance
7391154625509985569,@yfood I hope your product helps my weight loss journey #CapCut #10k #foryou #roadto10k #teamwork #payoffdebt #payoffdebt #follow #followtrain ,3617,297,135,9,2024-07-13T16:14:57+00:00,"[""CapCut"", ""10k"", ""foryou"", ""roadto10k"", ""teamwork"", ""payoffdebt"", ""payoffdebt"", ""follow"", ""followtrain""]",https://www.tiktok.com/@ichbinnelo/video/7391154625509985569,2026-05-26T22:41:16.850279+00:00,Personal Finance
7390837540002991392,another day of growing a wonderful community #CapCut #payoffdebt #fyp #teamwork #roadto10k #foryou #10k #growmyaccount ,6144,402,302,36,2024-07-12T19:44:26+00:00,"[""CapCut"", ""payoffdebt"", ""fyp"", ""teamwork"", ""roadto10k"", ""foryou"", ""10k"", ""growmyaccount""]",https://www.tiktok.com/@ichbinnelo/video/7390837540002991392,2026-05-26T22:41:16.850279+00:00,Personal Finance
7390403709106261280,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7390403709106261280,2026-05-26T14:28:13.419697+00:00,Unknown
7389865661314469152,let's support each other on this 10k journey. #roadto10k #payoffdebt #teamwork ,946,191,79,11,2024-07-10T04:53:37+00:00,"[""roadto10k"", ""payoffdebt"", ""teamwork""]",https://www.tiktok.com/@ichbinnelo/video/7389865661314469152,2026-05-26T22:41:16.850279+00:00,Personal Finance
7388826497634602272,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7388826497634602272,2026-05-26T14:28:13.435965+00:00,Unknown
7388134324484230433,#payoffdebt #teamwork #10k #foryoupage ,967,197,62,1,2024-07-05T12:54:39+00:00,"[""payoffdebt"", ""teamwork"", ""10k"", ""foryoupage""]",https://www.tiktok.com/@ichbinnelo/video/7388134324484230433,2026-05-26T22:41:16.850279+00:00,Personal Finance
7387129444789439777,"thank you all, you have been amazing 🙏😊#CapCut #foryoupage #10k #teamwork #payoffdebt #follow.",728,167,75,0,2024-07-02T19:55:09+00:00,"[""foryoupage"", ""10k"", ""teamwork"", ""payoffdebt"", ""follow.""]",https://www.tiktok.com/@ichbinnelo/video/7387129444789439777,2026-05-26T22:41:16.850279+00:00,Personal Finance
7386409870607617313,thank you everyone for your support 🙏 #teamwork #foryoupage #10k ,847,172,54,0,2024-06-30T21:22:52+00:00,"[""teamwork"", ""foryoupage"", ""10k""]",https://www.tiktok.com/@ichbinnelo/video/7386409870607617313,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
